	RNA_NAME	R-Square (Single)	R-Square (Multiple)
1	ENSG00000078699.20	0.058767923	0.058767923
2	ENSG00000147130.13	0.046661967	0.070495256
3	ENSG00000166426.7	0.042056994	0.085992647
4	ENSG00000118363.10	0.037891775	0.094963094
5	ENSG00000114126.16	0.034714731	0.099603483
6	ENSG00000153560.10	0.033720209	0.109273244
7	ENSG00000100243.19	0.029689763	0.116497743
8	ENSG00000260850.1	0.027788506	0.13219708
9	ENSG00000265719.1	0.026718331	0.149756176
10	ENSG00000232878.2	0.025958978	0.156821838
11	ENSG00000204718.3	0.024679823	0.172923231
12	ENSG00000120907.16	0.024575008	0.180726273
13	ENSG00000147654.13	0.024535204	0.18857454
14	ENSG00000259283.2	0.023954021	0.201161887
15	ENSG00000183134.4	0.023293234	0.205890778
16	ENSG00000175874.8	0.022488043	0.215923056
17	ENSG00000253013.1	0.022221472	0.220350332
18	ENSG00000139832.4	0.02134896	0.229271876
19	ENSG00000265627.1	0.020519535	0.24074876
20	ENSG00000214429.3	0.020437855	0.244728875
21	ENSG00000227067.3	0.019908863	0.245667306
22	ENSG00000127743.5	0.019772945	0.248669788
23	ENSG00000251387.1	0.019772071	0.258871154
24	ENSG00000262920.4	0.019149081	0.261397435
25	ENSG00000273593.1	0.019016092	0.26677969
26	ENSG00000186792.14	0.018354272	0.267390633
27	ENSG00000281831.1	0.018352555	0.267572034
28	ENSG00000254299.1	0.017990561	0.271531681
29	ENSG00000218823.1	0.017966086	0.276456951
30	ENSG00000174989.11	0.01779361	0.285487876
31	ENSG00000227542.1	0.017725951	0
32	ENSG00000196152.9	0.017656285	0
33	ENSG00000213468.3	0.017627192	0
34	ENSG00000226279.2	0.017477409	0
35	ENSG00000236637.2	0.017409872	0
36	ENSG00000124785.7	0.017115036	0
37	ENSG00000131864.9	0.016809845	0
38	ENSG00000229862.4	0.016784374	0
39	ENSG00000184343.9	0.016678532	0
40	ENSG00000206042.1	0.016665833	0
41	ENSG00000262185.1	0.016623139	0
42	ENSG00000166268.9	0.016606571	0
43	ENSG00000149635.2	0.016581286	0
44	ENSG00000231740.1	0.016430596	0
45	ENSG00000259523.1	0.016041468	0
46	ENSG00000004866.17	0.015829053	0
47	ENSG00000213700.3	0.015784688	0
48	ENSG00000196458.9	0.015640551	0
49	ENSG00000200714.1	0.015611858	0
50	ENSG00000201856.1	0.015452835	0
51	ENSG00000121900.17	0.015311854	0
52	ENSG00000249301.1	0.015199851	0
53	ENSG00000231396.2	0.015188401	0
54	ENSG00000221419.1	0.015170055	0
55	ENSG00000199157.1	0.014996803	0
56	ENSG00000174943.8	0.014958858	0
57	ENSG00000199104.2	0.014581953	0
58	ENSG00000239367.2	0.014543584	0
59	ENSG00000206911.1	0.0144906	0
60	ENSG00000225413.2	0.01439049	0
61	ENSG00000160401.13	0.014361135	0
62	ENSG00000256469.1	0.014359308	0
63	ENSG00000214401.4	0.014327572	0
64	ENSG00000231458.2	0.014216175	0
65	ENSG00000257402.1	0.014176836	0
66	ENSG00000274277.1	0.01407481	0
67	ENSG00000172769.2	0.013999694	0
68	ENSG00000233444.1	0.013868592	0
69	ENSG00000259096.1	0.013813464	0
70	ENSG00000176495.2	0.013648113	0
71	ENSG00000280195.1	0.01350524	0
72	ENSG00000273851.1	0.01350359	0
73	ENSG00000225683.4	0.013454376	0
74	ENSG00000239216.1	0.013403137	0
75	ENSG00000235586.1	0.013258249	0
76	ENSG00000224839.1	0.013251756	0
